"title","mainUrl","spoilerUrl","spoilerText","synopsisText"
"Shazam! (2019)","/title/tt0448115/?ref_=inth_ov_tt","/title/tt0448115/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4016727"">\n                    <p>We all have a superhero inside us, it just takes a bit of magic to bring it out. In Billy Batson&#39;s case, by shouting out one word - SHAZAM! - this streetwise fourteen-year-old foster kid can turn into the adult superhero Shazam.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""synopsis-py4461945"">In Winter 1974. a young Thaddeus Sivana and his older brother are driven home by their father. While playing with his magic 8 ball, Sivana is magically transported to the Rock of Eternity, where he meets a wizard, who introduced him to the mystical statues containing the spirits of the Seven Deadly Sins: Pride, Greed, Lust, Envy, Gluttony, Wrath, and Sloth. The last of a council of 7, the wizard spent centuries searching for a new champion. Put to a test to see if he is pure of heart, Sivana attempts to touch the eye of envy, failing the test. Transported back to the car, he causes a scene in which his brother hits him, and his father to crash on ice, injured. The magic 8 ball reads &quot;find me&quot;.<br/><br/>A few years before modern day, Billy is at a carnival with his mother, who plays darts in vain to get a tiger. Afterwards, Billy loses a pendant ball he has and chases after it, separating from his mother. Lost, he is picked up by police who gets him to a foster home.<br/><br/>In present day Philadelphia, Billy Batson lures and traps police officers into a pawn shop, using their computer in hopes of searching the address of his long lost mother. Traveling, he is disappointed. He is found and brought to a social services worker who puts him with the Vasqueze family, and the other siblings, Eugene, Darla, Pedro, Mary and Freddy.<br/><br/>In the office building of Sivana Industries, a woman tells a doctor about her experience and shares a video. Sivana takes the video to his office where he had a project that tracked people who had similar sightings around the word, and the video enabled him to find access to the wizard&#39;s lair. When questioned about it, Sivana turns the doctor into dust. He uses the symbols to access the lair, confronts the wizard, and touches the energy ball by Enzy, unleashing the Seven Deadly Sins. They form into an eye and sits at home and latches itself into his right eye.<br/><br/>At school, the foster children shows Billy around the school, as he adjusts. At lunch Freddie sits with Billy and after trying to pester him for a few minutes in attempts to get him to known him better. Outside, bullies drive him and hit Freddie. Billy stands up to the bullies and hits them with Freddie&#39;s walking stick, and runs into the subway to avoid them. While on the train, symbols appear and he enters the Rock of Eternity. The wizard reveals he had previously given his to someone else, but had turned evil and killed numerous people and released the seven deadly sins. The wizard vowed to search for someone who possessed a pure of heart, leading him to search for millennia. He chooses Billy, who has to say the word Shazam. Billy says the word, and transforms into the champion Shazam, and the wizard disappears. Shazam returns to Philadelphia and returns to the foster home and meets with Freddie. Testing all the abilities, lightning, super speed, and strength. They enter a store and stop an armed robbery. Heading home, he discovers he reverts to his other form by saying Shazam.<br/><br/>At Sivana industries, Dr Sivana barges into a corporate meeting hosted by his brother and father, who had lost his legs in the accident from the night in 1974. A confrontation between the siblings results in Sivana throwng his brother out of the window and showing off the sins in his eyes, slaughtering everyone in the room, including his father.<br/><br/>Freddie posts videos of Shazam&#39;s powers, going viral. Freddie and Billy are in school and skip school when Billy poses as Shazam to check them out. Leaving, they get around to test fire immunity, flight, and strength. Happy, they walk through a mall where they use the lightning ability to charge people&#39;s cell phones, get sodas for free, attempt to purchase a lair from a real estate agent, and going to a strip club. He comes out and says we need more money. They go to an ATM, zapping it and taking some of the money, using it to purchase merchandise.<br/><br/>Next day at school - the bullies begin to mess with Freddie and Billy again until Freddie tells them he knows the new hero &quot;Red Cyclone&quot; - they don&#39;t believe him but he promises and tells them that he&#39;ll get him to show up to lunch tomorrow. Freddie and Billy get into a bit of an argument over him just assuming and trying to use Billy for his powers. That night at dinner the father asks the family what they think of the new hero - everyone gives input and Freddie takes a dig at Shazam and then him and Billy get into a bit of an argument leaving the rest of the family confused.<br/><br/>At school the next day, Billy decides not to attend school because he wants to find his mother, despite Freddie asking for lunch. Shazam does various things, taking selfies, and showing off lightning for money. He sees and saves Mary from being hit by a car, and talking to her makes him realize she is upset that, because of college, she will have to leave her family. Shazam accidentally reveals he knew her name and housing situation, but leaves. Freddie finds Shazam and tries to talk to him, yet Shazam tries to diffuse it, shooting lighting that hits the tires of a bus across the city, sending it off the side of the bridge. Catching it, Shazam puts it on the concrete, only to be promptly told he&#39;s not using his powers right. Hearing the commotion, Dr. Sivana shows up and demands the powers that Shazam possesses. Brushing him off, Shazam is promptly thrown around and lands through a mall, while discovering his ability to fly. Sivana hunts him down, but Shazam transforms back into Billy and runs. Freddie is there and is taken hostage by Sivana, who demands to be taken to Billy. Billy shows up, and they know with Eugene telling him where his mother is; she is only 2 subway stops away. Billy rushes out of his house, with his foster parents in tow. Back at the house, Sivana shows up with Freddie and traps the children. Billy arrives at his mothers apartment complex. His mother informs Billy he was intentionally abandoned on that day, and saw him with the police and that he would be better cared by others, since she was 17. Leaving, he receives a call and Sivana tells him to come home. Billy jumps off the apartment building and transforms to Shazam and flies home.<br/><br/>Shazam decides to give up the power to save his family and Sivana opens a magical door to the Rock of Eternity. Taking the wizard&#39;s staff, Sivana unleashes the 7 deadly sins. The siblings enter the cave and distract Sivana long enough for them to run and exit into a winter carnival.<br/><br/>Sivana and the sins attack the Carnival, shooting at a Ferris wheel, almost tipping over. Sivana and Shazam fight all around the carnival. Getting a hold of the wizard&#39;s stick, Shazam and his family, yell his name, and transmits his power to his family, transforming them into the Shazam family, each an adult superhero. Each fighting one sin, Shazam engages with Sivana while flying through skyscrapers.<br/><br/>As it goes to tip over - Freddie flies in and saves the last two people on it - the bullies. Shazam and Sivana end up on a rooftop and Shazam goads the one deadly sin who remained -- Envy. It rips itself out from Sivana&#39;s eye and Shazam yells Shazam, hurting it. Sivana is knocked off the roof, now mortal. Shazam grabs Sivana and drags him to the carnival, ripping the magical eye out. Saving the day, the Shazam family basks in the cheers of the crowd, takes the eye back to the lair, and return the sins for keeping. Shazam and Freddie decide this is their lair. Back at the foster home, everyone returned to their original form and are watching a news cast of the carnival instance, with Santa Claus describing the event. The foster family all talk and laugh and Billy finally feels happy and safe accepting a family.<br/><br/>At school, Freddie sits down at lunch and the entire table leaves so all his siblings come and sit next to him. The bullies show up and ask if he&#39;s still friends with Red Cyclone - Shazam shows up and tells the school how Freddie showed him everything it means to be a hero and that he also brought another friend - Superman. In the mid-credits scene, Sivana in a prison cell doodling the symbols all over the wall until he&#39;s interrupted by Mister Mind, who tells him of the pillars of evil that will come together.<br/><br/>In the post credits scene, Shazam tries to talk to fish a la Aquaman.</li>\n    </ul>', ' ')"
"Pet Sematary (2019)","/title/tt0837563/?ref_=inth_ov_tt","/title/tt0837563/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4457547"">\n                    <p>Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps2196562"">\n                    <p>Louis Creed, his wife Rachel, and their two children, Gage and Ellie, move to a rural home where they are welcomed and enlightened about the eerie &#39;Pet Sematary&#39; located nearby. After the tragedy of their cat being killed by a truck, Louis resorts to burying it in the mysterious pet cemetery, which is definitely not as it seems, as it proves to the Creeds that sometimes, dead is better.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4426257"">\n                    <p>Based on the seminal horror novel by Stephen King, Pet Sematary follows Dr. Louis Creed (Jason Clarke), who, after relocating with his wife Rachel (Amy Seimetz) and their two young children from Boston to rural Maine, discovers a mysterious burial ground hidden deep in the woods near the family&#39;s new home. When tragedy strikes, Louis turns to his unusual neighbor, Jud Crandall (John Lithgow), setting off a perilous chain reaction that unleashes an unfathomable evil with horrific consequences.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Paramount Official Synopsis&view=simple&sort=alpha&ref_=ttpl_pl_2"">Paramount Official Synopsis</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4445604"">\n                    <p>When a family relocate from Boston to rural Maine, the parents soon discover a mysterious burial ground in the woods, which, after tragedy strikes, sets off a perilous chain reaction that unleashes an unspeakable evil with horrific consequences.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""synopsis-py4466151"">Louis Creed, his wife Rachel and their young children Ellie and Gage move to a remote woodland house on the outskirts of Ludlow, Maine. Ellie stumbles across a Pet Cemetery (misspelled &quot;Sematary&quot;) in the woods after following a procession of children and encounters her neighbor Jud Randall who quickly strikes up a friendship with the family.<br/><br/>Louis who works at a university hospital is unable to save the life of a student called Victor Pascow who is hit by a car. Louis is plagued by nightmares of Victor warning him to stay away from the woods and claiming, &quot;the barrier must not be broken&quot;. Meanwhile Rachel suffers from her own trauma regarding her sister Zelda who died as a teenager from spinal meningitis and whose illness traumatized a young Rachel.<br/><br/>Ellie&#39;s beloved pet cat Church is hit by a truck and is found by Louis and Jud. Aware of how devastated Ellie will be, Jud convinces Louis to bury Church deep in the Pet Sematary. The next day, Louis is stunned to discover Church is alive although he is notably more aggressive and dirtier, scratching Ellie and bringing a dead bird into the house. Louis confronts Jud who tells him that the Pet Sematary is able to bring things back from the dead and is inhabited by a Wendigo that the natives in the woods feared before fleeing. After finding Church sitting on Gage in his crib, Louis leaves Church on the side of the road and tells Ellie he ran away. Meanwhile Louis and Rachel&#39;s nightmares about Pascow and Zelda intensify.<br/><br/>The family throw a birthday party for Ellie. While playing hide and seek with her friends, Ellie spots Church in the road and rushes to him. Gage follows and is almost hit by a truck but is saved by Louis. The driver swerves to avoid Gage, causing a large tank to break loose which ends up hitting and killing Ellie who was still on the road. The family are devastated, and Rachel and Gage leave to spend a few days with Rachel&#39;s parents. Louis visits Jud who tells Louis that he knows that he&#39;s thinking of burying Ellie in the Pet Sematary and warns against it. Jud passes out from drinking and Louis takes the opportunity to dig up Ellie&#39;s body and bury it in the Pet Sematary. Ellie returns later that night, looking pale and with a notably meaner and colder attitude.<br/><br/>Meanwhile Rachel is spooked when Gage starts having nightmares and references Pascow by name. Rachel heads home, unable to contact Louis and calls Jud to check on him while she&#39;s stuck in traffic. Jud visits and is turned away by Louis. However, Jud spots Ellie watching him from her bedroom window, and he flees to his own house. As he gets his pistol to kill Ellie, Jud is surprised by Church and in the distraction, Ellie slices his ankle with a scalpel she stole from Louis. Ellie mocks Jud by taking the form of his dead wife Norma before stabbing Jud to death.<br/><br/>Rachel and Gage arrive at the house much to Louis&#39;s surprise. Ellie introduces herself to Rachel who is horrified and flees upstairs with Gage. As Louis tries to convince Rachel that Ellie is still their daughter, he notices that Ellie is missing and heads to Jud&#39;s house to find her.<br/><br/>Meanwhile Rachel is attacked by a knife wielding Ellie and is stabbed but manages to escape to the bathroom with Gage, barricading herself in. Louis finds Jud&#39;s body and returns to the house to see Rachel trying to lower Gage out the bathroom window. Louis catches Gage and Rachel is stabbed to death by Ellie. Louis locks Gage in the car and returns upstairs to find a dying Rachel who begs not to be buried in the Pet Sematary.<br/><br/>Ellie knocks Louis unconscious and drags Rachel&#39;s body into the woods where she buries her in the Pet Sematary. Louis awakens and finds Ellie in the woods where the pair fight. As Louis prepares to kill Ellie, he is stabbed by a resurrected Rachel and he too is buried. The trio burn Jud&#39;s house to the ground before approaching the car where Gage still sits inside. A resurrected Louis gestures to Gage who unlocks the car door before the film cuts to black.</li>\n    </ul>', ' ')"
"The Best of Enemies (2019)","/title/tt4807408/?ref_=inth_ov_tt","/title/tt4807408/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2393211"">\n                    <p>Civil rights activist Ann Atwater faces off against C.P. Ellis, Exalted Cyclops of the Ku Klux Klan, in 1971 Durham, North Carolina over the issue of school integration.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
"High Life (2018)","/title/tt4827558/?ref_=inth_ov_tt","/title/tt4827558/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2399596"">\n                    <p>A father and his daughter struggle to survive in deep space where they live in isolation.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps2998445"">\n                    <p>Takes place beyond the solar system in a future that seems like the present. About a group of criminals who accept a mission in space to become the subjects of a human reproduction experiment. They find themselves in the most unimaginable situation after a storm of cosmic rays hit the ship.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4114042"">\n                    <p>Deep space outside the solar system. Monte and his daughter Willow live together aboard a spacecraft, in complete isolation. A man whose strict self-discipline is a shield against desire, Monte fathered her against his will. His sperm was used to inseminate the young woman who gave birth to her. They were members of a crew of prisoners - death row inmates. Guinea pigs sent on a mission. Now only Monte and Willow remain. Through his daughter, he experiences the birth of an all-powerful love. Together, father and daughter approach their destination - the black hole in which time and space cease to exist.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Wildbunch International Sales&view=simple&sort=alpha&ref_=ttpl_pl_2"">Wildbunch International Sales</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
"Amazing Grace (2018)","/title/tt4935462/?ref_=inth_ov_tt","/title/tt4935462/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2621209"">\n                    <p>A documentary presenting Aretha Franklin with choir at the New Bethel Baptist Church in Watts, Los Angeles in January 1972.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Ulf Kjell Gür&view=simple&sort=alpha&ref_=ttpl_pl_0"">Ulf Kjell Gür</a></em>\n                        </div>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
"Peterloo (2018)","/title/tt4614612/?ref_=inth_ov_tt","/title/tt4614612/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po2319911"">\n                    <p>The story of the 1819 Peterloo Massacre where British forces attacked a peaceful pro-democracy rally in Manchester.</p>\n                        <div class=""author-container"">\n                            <em>&mdash;<a href=""/search/title?plot_author=Kenneth Chisholm&view=simple&sort=alpha&ref_=ttpl_pl_0"">Kenneth Chisholm</a></em>\n                        </div>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps4019025"">\n                    <p>An epic portrayal of the events surrounding the infamous 1819 Peterloo Massacre, where a peaceful pro-democracy rally at St Peter&#39;s Field in Manchester turned into one of the bloodiest and most notorious episodes in British history. The massacre saw British government forces charge into a crowd of over 60,000 that had gathered to demand political reform and protest against rising levels of poverty. Many protesters were killed and hundreds more injured, sparking a nationwide outcry but also further government suppression. The Peterloo Massacre was a defining moment in British democracy which also played a significant role in the founding of The Guardian newspaper.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
"Teen Spirit (2018)","/title/tt6483364/?ref_=inth_ov_tt","/title/tt6483364/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po3101544"">\n                    <p>Violet is a shy teenager who dreams of escaping her small town and pursuing her passion to sing. With the help of an unlikely mentor, she enters a local singing competition that will test her integrity, talent and ambition. Driven by a pop-fueled soundtrack, Teen Spirit is a visceral and stylish spin on the Cinderella story.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
"The Public (2018)","/title/tt3294746/?ref_=inth_ov_tt","/title/tt3294746/plotsummary?ref_=tt_stry_pl","('<ul class=""ipl-zebra-list"" id=""plot-summaries-content"">\n                <li class=""ipl-zebra-list__item"" id=""summary-po4457687"">\n                    <p>An act of civil disobedience turns into a standoff with police when homeless people in Cincinnati take over the public library to seek shelter from the bitter cold.</p>\n                </li>\n                <li class=""ipl-zebra-list__item"" id=""summary-ps3049067"">\n                    <p>In &quot;the public&quot; an unusually bitter Arctic blast has made its way to downtown Cincinnati and the front doors of the public library where the action of the film takes place. The story revolves around the library patrons, many of whom are homeless, mentally ill and marginalized, as well as an exhausted and overwhelmed staff of librarians who often build emotional connections and a sense of obligation to care for those regular patrons. At odds with library officials over how to handle the extreme weather event, the Patrons turn the building into a homeless shelter for the night by staging an &quot;Occupy&quot; sit in. What begins as an act of civil disobedience becomes a stand off with police and a rush-to-judgment media constantly speculating about what&#39;s really happening. This David versus Goliath story tackles some of our nation&#39;s most challenging issues, homelessness and mental illness and sets the drama inside one of the last bastions of democracy-in-action: your public library.</p>\n                </li>\n    </ul>', ' ')","('<ul class=""ipl-zebra-list"" id=""plot-synopsis-content"">\n            <li class=""ipl-zebra-list__item"" id=""no-synopsis-content"">\n                <p>It looks like we don\'t have a Synopsis for this title yet. <br/>Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the <a href=""https://contribute.imdb.com/updates/guide/plot?ref_=ttpl_emt"">Synopsis submission guide</a>.</p>\n            </li>\n    </ul>', ' ')"
